,Valor Real,ε = 0.1,ε = 0.5,ε = 1.0,ε  = 10.0
ABAIARA,621.0,641.7202956084140,620.566351699121,621.101183783063,621.0992989576710
ACARAPE,2915.0,2935.720295608410,2914.566351699120,2915.101183783060,2915.099298957670
ACARAU,6941.0,6961.720295608410,6940.566351699120,6941.101183783060,6941.099298957670
ACOPIARA,3108.0,3128.720295608410,3107.566351699120,3108.101183783060,3108.099298957670
AIUABA,410.0,430.7202956084140,409.566351699121,410.10118378306300,410.09929895767100
ALCANTARAS,1373.0,1393.7202956084100,1372.566351699120,1373.1011837830600,1373.0992989576700
ALTANEIRA,1053.0,1073.7202956084100,1052.566351699120,1053.1011837830600,1053.0992989576700
ALTO SANTO,1224.0,1244.7202956084100,1223.566351699120,1224.1011837830600,1224.0992989576700
AMONTADA,2532.0,2552.720295608410,2531.566351699120,2532.101183783060,2532.099298957670
ANTONINA DO NORTE,249.0,269.7202956084140,248.566351699121,249.10118378306300,249.09929895767100
APUIARES,774.0,794.7202956084140,773.566351699121,774.101183783063,774.0992989576710
AQUIRAZ,4333.0,4353.720295608410,4332.566351699120,4333.101183783060,4333.099298957670
ARACATI,5149.0,5169.720295608410,5148.566351699120,5149.101183783060,5149.099298957670
ARACOIABA,2699.0,2719.720295608410,2698.566351699120,2699.101183783060,2699.099298957670
ARARENDA,930.0,950.7202956084140,929.566351699121,930.101183783063,930.0992989576710
ARARIPE,1949.0,1969.7202956084100,1948.566351699120,1949.1011837830600,1949.0992989576700
ARATUBA,733.0,753.7202956084140,732.566351699121,733.101183783063,733.0992989576710
ARNEIROZ,152.0,172.7202956084140,151.566351699121,152.10118378306300,152.09929895767100
ASSARE,3172.0,3192.720295608410,3171.566351699120,3172.101183783060,3172.099298957670
AURORA,2427.0,2447.720295608410,2426.566351699120,2427.101183783060,2427.099298957670
BAIXIO,860.0,880.7202956084140,859.566351699121,860.101183783063,860.0992989576710
BANABUIU,1470.0,1490.7202956084100,1469.566351699120,1470.1011837830600,1470.0992989576700
BARBALHA,9113.0,9133.720295608420,9112.56635169912,9113.101183783060,9113.099298957670
BARREIRA,838.0,858.7202956084140,837.566351699121,838.101183783063,838.0992989576710
BARRO,2437.0,2457.720295608410,2436.566351699120,2437.101183783060,2437.099298957670
BARROQUINHA,1770.0,1790.7202956084100,1769.566351699120,1770.1011837830600,1770.0992989576700
BATURITÉ,2427.0,2447.720295608410,2426.566351699120,2427.101183783060,2427.099298957670
BEBERIBE,3654.0,3674.720295608410,3653.566351699120,3654.101183783060,3654.099298957670
BELA CRUZ,3385.0,3405.720295608410,3384.566351699120,3385.101183783060,3385.099298957670
BOA VIAGEM,3791.0,3811.720295608410,3790.566351699120,3791.101183783060,3791.099298957670
BREJO SANTO,14460.0,14480.720295608400,14459.56635169910,14460.101183783100,14460.099298957700
CAMOCIM,11335.0,11355.720295608400,11334.56635169910,11335.101183783100,11335.099298957700
CAMPOS SALES,3960.0,3980.720295608410,3959.566351699120,3960.101183783060,3960.099298957670
CANINDE,6694.0,6714.720295608410,6693.566351699120,6694.101183783060,6694.099298957670
CAPISTRANO,1327.0,1347.7202956084100,1326.566351699120,1327.1011837830600,1327.0992989576700
CARIDADE,985.0,1005.7202956084100,984.566351699121,985.101183783063,985.0992989576710
CARIRE,2155.0,2175.720295608410,2154.566351699120,2155.101183783060,2155.099298957670
CARIRIACU,1657.0,1677.7202956084100,1656.566351699120,1657.1011837830600,1657.0992989576700
CARIUS,2514.0,2534.720295608410,2513.566351699120,2514.101183783060,2514.099298957670
CARNAUBAL,1121.0,1141.7202956084100,1120.566351699120,1121.1011837830600,1121.0992989576700
CASCAVEL,6691.0,6711.720295608410,6690.566351699120,6691.101183783060,6691.099298957670
CATARINA,881.0,901.7202956084140,880.566351699121,881.101183783063,881.0992989576710
CATUNDA,1820.0,1840.7202956084100,1819.566351699120,1820.1011837830600,1820.0992989576700
CAUCAIA,16802.0,16822.720295608400,16801.566351699100,16802.101183783100,16802.09929895770
CEDRO,6375.0,6395.720295608410,6374.566351699120,6375.101183783060,6375.099298957670
CHAVAL,943.0,963.7202956084140,942.566351699121,943.101183783063,943.0992989576710
CHOROZINHO,2028.0,2048.720295608410,2027.566351699120,2028.1011837830600,2028.0992989576700
CHORÓ,613.0,633.7202956084140,612.566351699121,613.101183783063,613.0992989576710
COREAU,3125.0,3145.720295608410,3124.566351699120,3125.101183783060,3125.099298957670
CRATEUS,18475.0,18495.720295608400,18474.566351699100,18475.101183783100,18475.09929895770
CRATO,28433.0,28453.720295608400,28432.566351699100,28433.101183783100,28433.09929895770
CROATA,1266.0,1286.7202956084100,1265.566351699120,1266.1011837830600,1266.0992989576700
CRUZ,3703.0,3723.720295608410,3702.566351699120,3703.101183783060,3703.099298957670
DEPUTADO IRAPUAN PINHEIRO,1424.0,1444.7202956084100,1423.566351699120,1424.1011837830600,1424.0992989576700
ERERE,938.0,958.7202956084140,937.566351699121,938.101183783063,938.0992989576710
EUSEBIO,8698.0,8718.720295608420,8697.56635169912,8698.101183783060,8698.099298957670
FARIAS BRITO,2630.0,2650.720295608410,2629.566351699120,2630.101183783060,2630.099298957670
FORQUILHA,920.0,940.7202956084140,919.566351699121,920.101183783063,920.0992989576710
FORTALEZA,238374.0,238394.72029560800,238373.56635169900,238374.10118378300,238374.09929895800
FORTIM,1107.0,1127.7202956084100,1106.566351699120,1107.1011837830600,1107.0992989576700
FRECHEIRINHA,2307.0,2327.720295608410,2306.566351699120,2307.101183783060,2307.099298957670
GENERAL SAMPAIO,353.0,373.7202956084140,352.566351699121,353.10118378306300,353.09929895767100
GRACA,1285.0,1305.7202956084100,1284.566351699120,1285.1011837830600,1285.0992989576700
GRANJA,5267.0,5287.720295608410,5266.566351699120,5267.101183783060,5267.099298957670
GRANJEIRO,875.0,895.7202956084140,874.566351699121,875.101183783063,875.0992989576710
GROAIRAS,1985.0,2005.7202956084100,1984.566351699120,1985.1011837830600,1985.0992989576700
GUAIÚBA,1342.0,1362.7202956084100,1341.566351699120,1342.1011837830600,1342.0992989576700
GUARACIABA DO NORTE,2657.0,2677.720295608410,2656.566351699120,2657.101183783060,2657.099298957670
GUARAMIRANGA,1376.0,1396.7202956084100,1375.566351699120,1376.1011837830600,1376.0992989576700
HIDROLANDIA,5771.0,5791.720295608410,5770.566351699120,5771.101183783060,5771.099298957670
HORIZONTE,8972.0,8992.720295608420,8971.56635169912,8972.101183783060,8972.099298957670
IBARETAMA,366.0,386.7202956084140,365.566351699121,366.10118378306300,366.09929895767100
IBIAPINA,2015.0,2035.7202956084100,2014.566351699120,2015.1011837830600,2015.0992989576700
IBICUITINGA,1602.0,1622.7202956084100,1601.566351699120,1602.1011837830600,1602.0992989576700
ICAPUI,1671.0,1691.7202956084100,1670.566351699120,1671.1011837830600,1671.0992989576700
ICO,9778.0,9798.720295608420,9777.56635169912,9778.101183783060,9778.099298957670
IGUATU,20741.0,20761.720295608400,20740.566351699100,20741.101183783100,20741.09929895770
INDEPENDENCIA,2884.0,2904.720295608410,2883.566351699120,2884.101183783060,2884.099298957670
IPAPORANGA,2300.0,2320.720295608410,2299.566351699120,2300.101183783060,2300.099298957670
IPAUMIRIM,1236.0,1256.7202956084100,1235.566351699120,1236.1011837830600,1236.0992989576700
IPU,8077.0,8097.720295608410,8076.566351699120,8077.101183783060,8077.099298957670
IPUEIRAS,4701.0,4721.720295608410,4700.566351699120,4701.101183783060,4701.099298957670
IRACEMA,2638.0,2658.720295608410,2637.566351699120,2638.101183783060,2638.099298957670
IRAUCUBA,433.0,453.7202956084140,432.566351699121,433.10118378306300,433.09929895767100
ITAICABA,833.0,853.7202956084140,832.566351699121,833.101183783063,833.0992989576710
ITAITINGA,2486.0,2506.720295608410,2485.566351699120,2486.101183783060,2486.099298957670
ITAPAJE,2481.0,2501.720295608410,2480.566351699120,2481.101183783060,2481.099298957670
ITAPIPOCA,7237.0,7257.720295608410,7236.566351699120,7237.101183783060,7237.099298957670
ITAPIUNA,980.0,1000.7202956084100,979.566351699121,980.101183783063,980.0992989576710
ITAREMA,5175.0,5195.720295608410,5174.566351699120,5175.101183783060,5175.099298957670
ITATIRA,2445.0,2465.720295608410,2444.566351699120,2445.101183783060,2445.099298957670
JAGUARETAMA,2799.0,2819.720295608410,2798.566351699120,2799.101183783060,2799.099298957670
JAGUARIBARA,2076.0,2096.720295608410,2075.566351699120,2076.101183783060,2076.099298957670
JAGUARIBE,3056.0,3076.720295608410,3055.566351699120,3056.101183783060,3056.099298957670
JAGUARUANA,3498.0,3518.720295608410,3497.566351699120,3498.101183783060,3498.099298957670
JARDIM,923.0,943.7202956084140,922.566351699121,923.101183783063,923.0992989576710
JATI,374.0,394.7202956084140,373.566351699121,374.10118378306300,374.09929895767100
JIJOCA DE JERICOACOARA,2677.0,2697.720295608410,2676.566351699120,2677.101183783060,2677.099298957670
JUAZEIRO DO NORTE,39522.0,39542.720295608400,39521.56635169910,39522.10118378310,39522.09929895770
JUCAS,1137.0,1157.7202956084100,1136.566351699120,1137.1011837830600,1137.0992989576700
LAVRAS DA MANGABEIRA,5532.0,5552.720295608410,5531.566351699120,5532.101183783060,5532.099298957670
LIMOEIRO DO NORTE,7517.0,7537.720295608410,7516.566351699120,7517.101183783060,7517.099298957670
MADALENA,1878.0,1898.7202956084100,1877.566351699120,1878.1011837830600,1878.0992989576700
MARACANAU,22987.0,23007.720295608400,22986.566351699100,22987.101183783100,22987.09929895770
MARANGUAPE,8545.0,8565.720295608420,8544.56635169912,8545.101183783060,8545.099298957670
MARCO,918.0,938.7202956084140,917.566351699121,918.101183783063,918.0992989576710
MARTINOPOLE,916.0,936.7202956084140,915.566351699121,916.101183783063,916.0992989576710
MASSAPE,2626.0,2646.720295608410,2625.566351699120,2626.101183783060,2626.099298957670
MAURITI,4450.0,4470.720295608410,4449.566351699120,4450.101183783060,4450.099298957670
MERUOCA,1575.0,1595.7202956084100,1574.566351699120,1575.1011837830600,1575.0992989576700
MILAGRES,2825.0,2845.720295608410,2824.566351699120,2825.101183783060,2825.099298957670
MILHA,1037.0,1057.7202956084100,1036.566351699120,1037.1011837830600,1037.0992989576700
MIRAIMA,966.0,986.7202956084140,965.566351699121,966.101183783063,966.0992989576710
MISSAO VELHA,2536.0,2556.720295608410,2535.566351699120,2536.101183783060,2536.099298957670
MOMBACA,4969.0,4989.720295608410,4968.566351699120,4969.101183783060,4969.099298957670
MONSENHOR TABOSA,2198.0,2218.720295608410,2197.566351699120,2198.101183783060,2198.099298957670
MORADA NOVA,6561.0,6581.720295608410,6560.566351699120,6561.101183783060,6561.099298957670
MORAUJO,1063.0,1083.7202956084100,1062.566351699120,1063.1011837830600,1063.0992989576700
MORRINHOS,770.0,790.7202956084140,769.566351699121,770.101183783063,770.0992989576710
MUCAMBO,1257.0,1277.7202956084100,1256.566351699120,1257.1011837830600,1257.0992989576700
MULUNGU,318.0,338.7202956084140,317.566351699121,318.10118378306300,318.09929895767100
NOVA OLINDA,1087.0,1107.7202956084100,1086.566351699120,1087.1011837830600,1087.0992989576700
NOVA RUSSAS,3020.0,3040.720295608410,3019.566351699120,3020.101183783060,3020.099298957670
NOVO ORIENTE,2041.0,2061.720295608410,2040.566351699120,2041.1011837830600,2041.0992989576700
OCARA,1321.0,1341.7202956084100,1320.566351699120,1321.1011837830600,1321.0992989576700
OROS,4276.0,4296.720295608410,4275.566351699120,4276.101183783060,4276.099298957670
PACAJUS,7060.0,7080.720295608410,7059.566351699120,7060.101183783060,7060.099298957670
PACATUBA,6323.0,6343.720295608410,6322.566351699120,6323.101183783060,6323.099298957670
PACOTI,954.0,974.7202956084140,953.566351699121,954.101183783063,954.0992989576710
PACUJA,451.0,471.7202956084140,450.566351699121,451.10118378306300,451.09929895767100
PALHANO,402.0,422.7202956084140,401.566351699121,402.10118378306300,402.09929895767100
PALMACIA,1062.0,1082.7202956084100,1061.566351699120,1062.1011837830600,1062.0992989576700
PARACURU,2487.0,2507.720295608410,2486.566351699120,2487.101183783060,2487.099298957670
PARAIPABA,2175.0,2195.720295608410,2174.566351699120,2175.101183783060,2175.099298957670
PARAMBU,1259.0,1279.7202956084100,1258.566351699120,1259.1011837830600,1259.0992989576700
PARAMOTI,603.0,623.7202956084140,602.566351699121,603.101183783063,603.0992989576710
PEDRA BRANCA,522.0,542.7202956084140,521.566351699121,522.101183783063,522.0992989576710
PENAFORTE,319.0,339.7202956084140,318.566351699121,319.10118378306300,319.09929895767100
PENTECOSTE,1219.0,1239.7202956084100,1218.566351699120,1219.1011837830600,1219.0992989576700
PEREIRO,2500.0,2520.720295608410,2499.566351699120,2500.101183783060,2500.099298957670
PINDORETAMA,1874.0,1894.7202956084100,1873.566351699120,1874.1011837830600,1874.0992989576700
PIQUET CARNEIRO,3727.0,3747.720295608410,3726.566351699120,3727.101183783060,3727.099298957670
PIRES FERREIRA,1354.0,1374.7202956084100,1353.566351699120,1354.1011837830600,1354.0992989576700
PORANGA,1235.0,1255.7202956084100,1234.566351699120,1235.1011837830600,1235.0992989576700
PORTEIRAS,3264.0,3284.720295608410,3263.566351699120,3264.101183783060,3264.099298957670
POTENGI,786.0,806.7202956084140,785.566351699121,786.101183783063,786.0992989576710
POTIRETAMA,463.0,483.7202956084140,462.566351699121,463.10118378306300,463.09929895767100
QUITERIANOPOLIS,1041.0,1061.7202956084100,1040.566351699120,1041.1011837830600,1041.0992989576700
QUIXADA,9995.0,10015.720295608400,9994.56635169912,9995.101183783060,9995.099298957670
QUIXELO,3453.0,3473.720295608410,3452.566351699120,3453.101183783060,3453.099298957670
QUIXERAMOBIM,7829.0,7849.720295608410,7828.566351699120,7829.101183783060,7829.099298957670
QUIXERE,2974.0,2994.720295608410,2973.566351699120,2974.101183783060,2974.099298957670
REDENCAO,7087.0,7107.720295608410,7086.566351699120,7087.101183783060,7087.099298957670
RERIUTABA,2264.0,2284.720295608410,2263.566351699120,2264.101183783060,2264.099298957670
RUSSAS,8770.0,8790.720295608420,8769.56635169912,8770.101183783060,8770.099298957670
SABOEIRO,1056.0,1076.7202956084100,1055.566351699120,1056.1011837830600,1056.0992989576700
SALITRE,1295.0,1315.7202956084100,1294.566351699120,1295.1011837830600,1295.0992989576700
SANTA QUITERIA,5944.0,5964.720295608410,5943.566351699120,5944.101183783060,5944.099298957670
SANTANA DO ACARAU,2194.0,2214.720295608410,2193.566351699120,2194.101183783060,2194.099298957670
SANTANA DO CARIRI,1154.0,1174.7202956084100,1153.566351699120,1154.1011837830600,1154.0992989576700
SAO BENEDITO,3162.0,3182.720295608410,3161.566351699120,3162.101183783060,3162.099298957670
SAO GONCALO DO AMARANTE,7244.0,7264.720295608410,7243.566351699120,7244.101183783060,7244.099298957670
SAO JOAO DO JAGUARIBE,467.0,487.7202956084140,466.566351699121,467.10118378306300,467.09929895767100
SAO LUÍS DO CURU,609.0,629.7202956084140,608.566351699121,609.101183783063,609.0992989576710
SENADOR POMPEU,1751.0,1771.7202956084100,1750.566351699120,1751.1011837830600,1751.0992989576700
SENADOR SA,386.0,406.7202956084140,385.566351699121,386.10118378306300,386.09929895767100
SOBRAL,27890.0,27910.720295608400,27889.566351699100,27890.101183783100,27890.09929895770
SOLONOPOLE,1069.0,1089.7202956084100,1068.566351699120,1069.1011837830600,1069.0992989576700
TABULEIRO DO NORTE,5036.0,5056.720295608410,5035.566351699120,5036.101183783060,5036.099298957670
TAMBORIL,3684.0,3704.720295608410,3683.566351699120,3684.101183783060,3684.099298957670
TARRAFAS,278.0,298.7202956084140,277.566351699121,278.10118378306300,278.09929895767100
TAUA,9566.0,9586.720295608420,9565.56635169912,9566.101183783060,9566.099298957670
TEJUCUOCA,1170.0,1190.7202956084100,1169.566351699120,1170.1011837830600,1170.0992989576700
TIANGUA,8339.0,8359.720295608420,8338.56635169912,8339.101183783060,8339.099298957670
TRAIRI,1663.0,1683.7202956084100,1662.566351699120,1663.1011837830600,1663.0992989576700
TURURU,1262.0,1282.7202956084100,1261.566351699120,1262.1011837830600,1262.0992989576700
UBAJARA,2755.0,2775.720295608410,2754.566351699120,2755.101183783060,2755.099298957670
UMARI,717.0,737.7202956084140,716.566351699121,717.101183783063,717.0992989576710
UMIRIM,593.0,613.7202956084140,592.566351699121,593.101183783063,593.0992989576710
URUBURETAMA,1522.0,1542.7202956084100,1521.566351699120,1522.1011837830600,1522.0992989576700
URUOCA,1933.0,1953.7202956084100,1932.566351699120,1933.1011837830600,1933.0992989576700
VARJOTA,2760.0,2780.720295608410,2759.566351699120,2760.101183783060,2760.099298957670
VARZEA ALEGRE,3295.0,3315.720295608410,3294.566351699120,3295.101183783060,3295.099298957670
VICOSA DO CEARA,4212.0,4232.720295608410,4211.566351699120,4212.101183783060,4212.099298957670